Name,Garment_Name,Experience_Years,Job_Role,Working_Hours_Per_Week,Exposure_To_Chemicals,Machine_Use,Workstation_Ergonomics,Injury_History,Health_Condition,Safety_Training,Shift_Type,Task_Rotation_Frequency,Job_Risk
Nazia Sultana,Pallmall Group,20,Machine_Maintenance,48,Medium,Heavy,Average,1,Minor_Chronic,Advanced,Night,Occasional,High
Fariha Khan,Pallmall Group,8,Packaging,52,Low,Light,Average,1,Healthy,Basic,Evening,Occasional,Low
Mushfiqur Rahman,Pallmall Group,38,Sewing,68,Medium,Heavy,Average,1,Healthy,Basic,Day,Frequent,Medium
Mariam Noor,Pallmall Group,17,Packaging,28,None,None,Poor,1,Healthy,None,Evening,Occasional,Medium
Abdul Latif,Pallmall Group,3,Sewing,33,Medium,Heavy,Average,2,Healthy,Basic,Evening,Rare,High
Mushfiqur Rahman,Pallmall Group,24,Cutting,50,None,Heavy,Poor,1,Healthy,Basic,Night,Frequent,Medium
Rasel Hossain,Pallmall Group,13,Ironing,50,None,Light,Average,1,Healthy,Basic,Evening,Rare,Low
Shahidul Islam,Pallmall Group,8,Ironing,50,Low,Light,Average,0,Healthy,None,Evening,Occasional,Medium
Fariha Khan,Pallmall Group,25,Cutting,59,None,Light,Poor,1,Healthy,Basic,Day,Frequent,Medium
Nazia Sultana,Pallmall Group,1,Machine_Maintenance,57,Low,None,Average,0,Healthy,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,19,Packaging,40,None,Light,Average,2,Healthy,Basic,Day,Occasional,Low
Abdul Latif,Pallmall Group,27,Dyeing,45,Medium,Heavy,Average,0,Healthy,Basic,Day,Frequent,Medium
Taslima Akter,Pallmall Group,6,Sewing,50,None,Light,Average,1,Healthy,None,Day,Occasional,Medium
Fariha Khan,Pallmall Group,7,Machine_Maintenance,42,None,None,Average,2,Healthy,Basic,Day,Occasional,Medium
Mariam Noor,Pallmall Group,34,Machine_Maintenance,60,Low,Light,Average,0,Minor_Chronic,Basic,Evening,Occasional,Medium
Shahidul Islam,Pallmall Group,13,Packaging,48,None,Light,Good,0,Minor_Chronic,Advanced,Night,Rare,Low
Shahidul Islam,Pallmall Group,16,Sewing,66,None,None,Poor,0,Minor_Chronic,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,35,Sewing,50,None,Light,Good,2,Serious_Chronic,None,Day,Frequent,Medium
Rahim Ahmed,Pallmall Group,39,Sewing,54,Low,None,Average,0,Healthy,None,Night,Rare,Low
Taslima Akter,Pallmall Group,3,Sewing,45,Low,Heavy,Good,0,Healthy,Basic,Night,Occasional,Medium
Rahim Ahmed,Pallmall Group,1,Cutting,51,None,None,Average,1,Healthy,None,Day,Occasional,High
Rasel Hossain,Pallmall Group,5,Machine_Maintenance,67,High,Light,Average,1,Minor_Chronic,Basic,Day,Occasional,High
Rasel Hossain,Pallmall Group,3,Ironing,34,Medium,Light,Good,1,Minor_Chronic,Advanced,Day,Occasional,Medium
Fariha Khan,Pallmall Group,28,Sewing,47,Low,Heavy,Poor,2,Healthy,Basic,Day,Frequent,High
Mariam Noor,Pallmall Group,17,Sewing,54,Low,Heavy,Poor,0,Healthy,Basic,Night,Rare,High
Shahidul Islam,Pallmall Group,25,Sewing,33,None,None,Average,1,Healthy,Advanced,Evening,Occasional,Low
Mariam Noor,Pallmall Group,33,Sewing,54,Low,Light,Good,1,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,9,Sewing,36,None,Heavy,Average,0,Healthy,None,Night,Occasional,Medium
Rahim Ahmed,Pallmall Group,35,Sewing,58,None,Light,Average,0,Serious_Chronic,Basic,Evening,Rare,High
Abdul Latif,Pallmall Group,13,Packaging,48,High,Light,Average,1,Healthy,Advanced,Night,Occasional,Medium
Taslima Akter,Pallmall Group,30,Supervisor,53,Low,Heavy,Average,1,Serious_Chronic,Advanced,Night,Frequent,Medium
Abdul Latif,Pallmall Group,14,Cutting,67,None,Heavy,Average,1,Healthy,None,Day,Rare,High
Rasel Hossain,Pallmall Group,7,Cutting,40,None,Light,Average,1,Healthy,Basic,Day,Occasional,Low
Rahim Ahmed,Pallmall Group,13,Packaging,50,Low,Light,Good,0,Minor_Chronic,Advanced,Day,Frequent,Low
Fariha Khan,Pallmall Group,22,Sewing,47,None,Light,Poor,0,Healthy,Basic,Night,Occasional,Low
Abdul Latif,Pallmall Group,39,Sewing,64,None,None,Poor,0,Healthy,Advanced,Night,Occasional,Medium
Taslima Akter,Pallmall Group,20,Packaging,55,None,Heavy,Average,0,Healthy,Basic,Evening,Frequent,Low
Shahidul Islam,Pallmall Group,15,Sewing,44,None,Heavy,Average,0,Minor_Chronic,Advanced,Day,Rare,Low
Nazia Sultana,Pallmall Group,17,Dyeing,55,Low,Heavy,Average,0,Healthy,Advanced,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,23,Ironing,68,None,None,Average,1,Healthy,Basic,Evening,Occasional,Low
Fariha Khan,Pallmall Group,25,Cutting,29,Low,Light,Poor,0,Healthy,Basic,Evening,Occasional,Low
Rahim Ahmed,Pallmall Group,24,Cutting,52,None,Light,Average,1,Minor_Chronic,None,Day,Occasional,Low
Shahidul Islam,Pallmall Group,40,Packaging,68,Low,Light,Average,0,Serious_Chronic,Basic,Day,Rare,Medium
Mushfiqur Rahman,Pallmall Group,28,Sewing,33,High,Heavy,Poor,1,Healthy,Basic,Evening,Rare,High
Nazia Sultana,Pallmall Group,14,Sewing,38,Low,Light,Average,0,Healthy,Basic,Night,Rare,Low
Nazia Sultana,Pallmall Group,0,Packaging,65,Medium,Light,Average,0,Serious_Chronic,Basic,Day,Rare,High
Rahim Ahmed,Pallmall Group,24,Ironing,33,High,Light,Average,3,Healthy,Basic,Day,Rare,High
Rasel Hossain,Pallmall Group,6,Sewing,38,None,Heavy,Poor,2,Healthy,Basic,Evening,Frequent,Medium
Rasel Hossain,Pallmall Group,8,Machine_Maintenance,41,Low,Heavy,Good,0,Healthy,Basic,Night,Rare,High
Abdul Latif,Pallmall Group,23,Cutting,29,Medium,Heavy,Average,0,Healthy,Advanced,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,0,Packaging,67,None,Light,Poor,1,Healthy,None,Day,Occasional,High
Nazia Sultana,Pallmall Group,7,Packaging,30,None,Light,Average,1,Healthy,Basic,Day,Rare,Low
Mariam Noor,Pallmall Group,23,Dyeing,62,High,Light,Good,1,Healthy,Basic,Day,Frequent,High
Nazia Sultana,Pallmall Group,10,Ironing,60,Low,Light,Average,0,Minor_Chronic,Basic,Day,Frequent,Low
Rahim Ahmed,Pallmall Group,16,Supervisor,51,None,Light,Good,1,Healthy,Basic,Evening,Rare,Low
Shamina Begum,Pallmall Group,7,Sewing,46,None,Light,Poor,0,Healthy,Basic,Day,Frequent,Low
Rasel Hossain,Pallmall Group,34,Packaging,45,Medium,Light,Good,0,Minor_Chronic,Advanced,Evening,Occasional,Low
Nazia Sultana,Pallmall Group,34,Sewing,51,Low,Light,Average,0,Minor_Chronic,Basic,Day,Rare,Low
Rahim Ahmed,Pallmall Group,32,Cutting,62,Low,None,Poor,0,Healthy,Advanced,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,4,Cutting,28,Medium,Light,Average,1,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,38,Machine_Maintenance,63,Low,Light,Good,0,Healthy,Basic,Day,Occasional,Medium
Rasel Hossain,Pallmall Group,40,Supervisor,52,Low,Light,Average,0,Healthy,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,27,Sewing,61,Low,Light,Average,0,Healthy,Advanced,Night,Rare,Medium
Fariha Khan,Pallmall Group,6,Sewing,52,Low,Light,Poor,0,Healthy,Basic,Day,Frequent,Medium
Abdul Latif,Pallmall Group,8,Packaging,43,Low,Heavy,Average,0,Healthy,Advanced,Day,Frequent,Medium
Nazia Sultana,Pallmall Group,7,Cutting,61,None,Heavy,Poor,1,Minor_Chronic,None,Evening,Occasional,High
Fariha Khan,Pallmall Group,11,Sewing,56,None,Light,Poor,0,Healthy,Basic,Night,Rare,Medium
Fariha Khan,Pallmall Group,33,Packaging,46,High,Light,Average,0,Healthy,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,32,Ironing,50,None,Light,Good,0,Healthy,Basic,Day,Occasional,Low
Rahim Ahmed,Pallmall Group,22,Supervisor,46,None,Light,Average,0,Healthy,Basic,Evening,Frequent,Low
Shahidul Islam,Pallmall Group,23,Sewing,52,None,Heavy,Poor,1,Healthy,Basic,Day,Frequent,Medium
Rasel Hossain,Pallmall Group,36,Cutting,43,Medium,Light,Average,1,Minor_Chronic,Basic,Evening,Frequent,Low
Shamina Begum,Pallmall Group,34,Ironing,36,None,Light,Good,1,Healthy,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,39,Packaging,28,None,Light,Average,1,Minor_Chronic,Basic,Night,Frequent,Low
Abdul Latif,Pallmall Group,21,Ironing,46,None,Light,Average,1,Healthy,Basic,Day,Rare,Low
Nazia Sultana,Pallmall Group,26,Dyeing,60,Low,Light,Good,0,Healthy,Basic,Night,Occasional,Medium
Rahim Ahmed,Pallmall Group,34,Sewing,61,None,Light,Average,0,Healthy,Basic,Day,Rare,Low
Mariam Noor,Pallmall Group,0,Packaging,43,None,Light,Poor,0,Healthy,Advanced,Night,Frequent,Medium
Shahidul Islam,Pallmall Group,34,Cutting,67,None,None,Average,0,Minor_Chronic,Advanced,Day,Frequent,Low
Shahidul Islam,Pallmall Group,36,Sewing,45,Medium,Heavy,Good,1,Minor_Chronic,Basic,Day,Rare,Medium
Mariam Noor,Pallmall Group,13,Dyeing,61,None,Heavy,Average,1,Healthy,Basic,Day,Occasional,High
Shahidul Islam,Pallmall Group,2,Sewing,52,None,Light,Poor,1,Minor_Chronic,Basic,Night,Frequent,Medium
Nazia Sultana,Pallmall Group,0,Sewing,33,Low,Light,Average,1,Serious_Chronic,Advanced,Day,Occasional,High
Nazia Sultana,Pallmall Group,4,Packaging,48,High,None,Average,1,Healthy,Advanced,Day,Occasional,Medium
Shamina Begum,Pallmall Group,25,Ironing,33,Low,None,Good,0,Serious_Chronic,None,Day,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,13,Packaging,59,High,Light,Average,0,Healthy,Advanced,Night,Occasional,Medium
Shamina Begum,Pallmall Group,38,Sewing,68,Medium,Light,Average,0,Minor_Chronic,None,Day,Frequent,Medium
Mariam Noor,Pallmall Group,26,Packaging,66,None,Heavy,Good,0,Healthy,Basic,Day,Occasional,Low
Taslima Akter,Pallmall Group,8,Sewing,58,Low,Light,Average,0,Healthy,Advanced,Night,Rare,Medium
Shamina Begum,Pallmall Group,14,Cutting,37,None,Light,Poor,0,Healthy,Advanced,Night,Rare,Medium
Abdul Latif,Pallmall Group,14,Supervisor,57,Low,Light,Good,1,Healthy,Advanced,Day,Rare,Medium
Nazia Sultana,Pallmall Group,25,Packaging,45,None,None,Average,0,Serious_Chronic,Basic,Night,Occasional,Low
Rasel Hossain,Pallmall Group,12,Ironing,51,None,None,Average,1,Healthy,Basic,Day,Frequent,Low
Shahidul Islam,Pallmall Group,31,Cutting,36,Medium,Heavy,Average,0,Healthy,Advanced,Day,Occasional,Medium
Mariam Noor,Pallmall Group,38,Machine_Maintenance,58,None,Heavy,Poor,0,Healthy,Basic,Night,Frequent,High
Shamina Begum,Pallmall Group,31,Ironing,42,Medium,Light,Good,1,Healthy,Basic,Evening,Frequent,Low
Shamina Begum,Pallmall Group,3,Packaging,31,None,Light,Average,1,Healthy,Basic,Day,Occasional,Low
Abdul Latif,Pallmall Group,29,Packaging,67,None,Heavy,Average,2,Healthy,Advanced,Day,Occasional,Medium
Rahim Ahmed,Pallmall Group,36,Sewing,36,Medium,None,Poor,1,Healthy,Advanced,Day,Occasional,Medium
Mariam Noor,Pallmall Group,22,Sewing,36,Low,Heavy,Average,0,Healthy,Basic,Evening,Rare,Low
Rahim Ahmed,Pallmall Group,38,Dyeing,53,Low,Light,Good,0,Healthy,Advanced,Night,Occasional,Low
Rahim Ahmed,Pallmall Group,14,Sewing,31,None,Light,Average,0,Healthy,None,Day,Occasional,Low
Shamina Begum,Pallmall Group,28,Sewing,44,Low,Light,Good,1,Serious_Chronic,Basic,Night,Occasional,Medium
Shahidul Islam,Pallmall Group,35,Machine_Maintenance,43,Low,Light,Average,0,Healthy,Basic,Day,Occasional,Low
Mariam Noor,Pallmall Group,12,Ironing,42,Low,Heavy,Average,0,Healthy,None,Evening,Rare,Medium
Fariha Khan,Pallmall Group,31,Packaging,62,None,None,Average,0,Healthy,Advanced,Day,Occasional,Low
Shahidul Islam,Pallmall Group,6,Ironing,32,High,Light,Good,0,Healthy,Advanced,Evening,Occasional,Low
Mariam Noor,Pallmall Group,21,Ironing,32,Low,None,Average,2,Healthy,Basic,Day,Rare,Medium
Abdul Latif,Pallmall Group,27,Sewing,47,Medium,Heavy,Average,0,Healthy,Advanced,Night,Occasional,Medium
Taslima Akter,Pallmall Group,1,Cutting,42,Low,Light,Average,0,Healthy,Basic,Day,Rare,Medium
Taslima Akter,Pallmall Group,5,Sewing,45,Low,Heavy,Poor,1,Healthy,Basic,Day,Frequent,High
Rahim Ahmed,Pallmall Group,27,Cutting,29,None,Light,Average,0,Healthy,Advanced,Night,Rare,Low
Mushfiqur Rahman,Pallmall Group,27,Packaging,56,None,None,Good,1,Minor_Chronic,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,19,Cutting,40,Medium,None,Poor,0,Healthy,Advanced,Day,Occasional,Low
Rahim Ahmed,Pallmall Group,29,Ironing,31,None,Light,Poor,1,Healthy,Basic,Day,Rare,Medium
Taslima Akter,Pallmall Group,10,Cutting,37,None,Light,Poor,0,Healthy,Advanced,Night,Occasional,Medium
Fariha Khan,Pallmall Group,27,Sewing,58,None,Light,Average,0,Healthy,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,24,Cutting,68,None,None,Average,0,Healthy,None,Day,Rare,Medium
Mushfiqur Rahman,Pallmall Group,38,Sewing,35,Medium,Light,Poor,0,Healthy,Basic,Day,Rare,Medium
Shamina Begum,Pallmall Group,32,Sewing,30,Medium,Light,Average,1,Healthy,Basic,Night,Occasional,Medium
Taslima Akter,Pallmall Group,0,Sewing,36,None,Light,Average,1,Healthy,None,Day,Rare,Medium
Taslima Akter,Pallmall Group,26,Cutting,57,None,Light,Average,0,Healthy,None,Day,Occasional,Low
Abdul Latif,Pallmall Group,12,Packaging,38,Low,Light,Average,0,Healthy,Advanced,Evening,Frequent,Low
Fariha Khan,Pallmall Group,40,Sewing,62,Low,Heavy,Average,0,Healthy,Advanced,Day,Rare,Medium
Mariam Noor,Pallmall Group,2,Cutting,64,High,None,Average,0,Healthy,Advanced,Day,Occasional,Medium
Rasel Hossain,Pallmall Group,38,Dyeing,40,Low,Light,Poor,0,Healthy,Advanced,Night,Occasional,Medium
Mariam Noor,Pallmall Group,5,Sewing,63,None,Light,Poor,0,Healthy,Advanced,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,7,Machine_Maintenance,40,Low,Light,Average,0,Healthy,None,Evening,Rare,Medium
Nazia Sultana,Pallmall Group,26,Ironing,39,High,Light,Average,1,Minor_Chronic,Advanced,Night,Occasional,Medium
Nazia Sultana,Pallmall Group,8,Cutting,64,Low,Light,Average,0,Healthy,Advanced,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,36,Ironing,37,Low,Light,Poor,0,Serious_Chronic,None,Day,Rare,High
Rasel Hossain,Pallmall Group,32,Sewing,36,None,Light,Poor,0,Healthy,Basic,Night,Occasional,Low
Mariam Noor,Pallmall Group,23,Dyeing,34,Low,Heavy,Good,1,Healthy,Basic,Evening,Rare,High
Mariam Noor,Pallmall Group,14,Cutting,29,Medium,Heavy,Average,0,Healthy,Advanced,Day,Rare,Medium
Mariam Noor,Pallmall Group,31,Machine_Maintenance,50,None,Light,Average,0,Healthy,Basic,Day,Rare,Low
Mariam Noor,Pallmall Group,31,Sewing,66,None,None,Good,1,Healthy,Advanced,Evening,Rare,Medium
Nazia Sultana,Pallmall Group,23,Ironing,67,None,Heavy,Average,0,Healthy,None,Day,Rare,Medium
Shamina Begum,Pallmall Group,40,Dyeing,66,None,Heavy,Average,0,Healthy,None,Day,Rare,High
Mariam Noor,Pallmall Group,11,Sewing,48,None,Light,Average,0,Serious_Chronic,Advanced,Night,Rare,Medium
Taslima Akter,Pallmall Group,38,Cutting,50,None,Light,Poor,0,Healthy,None,Day,Occasional,Low
Rahim Ahmed,Pallmall Group,1,Packaging,56,Low,Heavy,Average,2,Serious_Chronic,Basic,Night,Rare,High
Nazia Sultana,Pallmall Group,2,Packaging,41,None,Light,Average,0,Healthy,Basic,Evening,Occasional,Low
Mariam Noor,Pallmall Group,36,Cutting,53,None,Light,Average,0,Healthy,Advanced,Day,Occasional,Low
Shamina Begum,Pallmall Group,16,Packaging,32,Medium,Light,Average,0,Healthy,Basic,Evening,Occasional,Low
Rahim Ahmed,Pallmall Group,1,Supervisor,58,Low,Heavy,Average,1,Healthy,None,Day,Rare,High
Rasel Hossain,Pallmall Group,1,Packaging,52,Low,Heavy,Poor,1,Healthy,Basic,Day,Frequent,High
Rahim Ahmed,Pallmall Group,27,Sewing,58,None,Heavy,Poor,1,Healthy,Basic,Day,Occasional,High
Mariam Noor,Pallmall Group,22,Packaging,47,Low,Heavy,Poor,0,Healthy,Basic,Evening,Rare,High
Abdul Latif,Pallmall Group,36,Cutting,44,None,None,Poor,0,Healthy,Advanced,Evening,Rare,Low
Shahidul Islam,Pallmall Group,31,Supervisor,29,Medium,Heavy,Average,1,Healthy,Advanced,Night,Occasional,Medium
Rasel Hossain,Pallmall Group,32,Ironing,52,None,Light,Average,2,Healthy,Advanced,Night,Frequent,Medium
Nazia Sultana,Pallmall Group,0,Sewing,40,Low,Heavy,Poor,1,Serious_Chronic,None,Day,Occasional,High
Rahim Ahmed,Pallmall Group,18,Packaging,66,None,Light,Good,1,Healthy,Basic,Evening,Occasional,Low
Shahidul Islam,Pallmall Group,1,Cutting,55,Low,Heavy,Good,2,Minor_Chronic,Advanced,Day,Rare,High
Nazia Sultana,Pallmall Group,25,Supervisor,33,Low,Light,Average,1,Healthy,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,31,Supervisor,30,None,Light,Average,0,Healthy,None,Day,Rare,Low
Rahim Ahmed,Pallmall Group,5,Dyeing,62,None,None,Average,0,Healthy,Advanced,Evening,Occasional,Medium
Fariha Khan,Pallmall Group,31,Sewing,45,Low,Light,Poor,0,Healthy,Basic,Day,Rare,Medium
Fariha Khan,Pallmall Group,3,Packaging,38,High,Heavy,Good,4,Serious_Chronic,Advanced,Day,Rare,High
Rasel Hossain,Pallmall Group,10,Sewing,47,Medium,Light,Poor,0,Healthy,None,Day,Occasional,Medium
Rasel Hossain,Pallmall Group,16,Sewing,32,None,Light,Good,0,Serious_Chronic,Basic,Day,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,37,Packaging,46,None,None,Average,1,Minor_Chronic,Advanced,Night,Rare,Low
Taslima Akter,Pallmall Group,23,Sewing,49,Medium,Heavy,Average,3,Healthy,Basic,Night,Frequent,High
Rahim Ahmed,Pallmall Group,4,Cutting,46,Low,Light,Average,0,Healthy,Basic,Evening,Rare,Low
Taslima Akter,Pallmall Group,33,Supervisor,43,Low,Heavy,Average,2,Healthy,None,Evening,Occasional,Medium
Shamina Begum,Pallmall Group,5,Cutting,51,Medium,Heavy,Poor,2,Healthy,Basic,Evening,Occasional,High
Fariha Khan,Pallmall Group,21,Sewing,68,Medium,Heavy,Average,0,Healthy,Basic,Evening,Occasional,Medium
Abdul Latif,Pallmall Group,10,Machine_Maintenance,31,Low,Light,Average,0,Healthy,Basic,Evening,Frequent,Low
Fariha Khan,Pallmall Group,15,Sewing,42,None,Heavy,Average,0,Healthy,None,Day,Rare,Medium
Shahidul Islam,Pallmall Group,32,Packaging,52,None,Light,Poor,1,Healthy,None,Day,Rare,Medium
Fariha Khan,Pallmall Group,8,Supervisor,62,Low,Heavy,Average,1,Healthy,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,5,Machine_Maintenance,41,None,Heavy,Good,0,Minor_Chronic,Basic,Day,Rare,Medium
Nazia Sultana,Pallmall Group,15,Dyeing,46,None,None,Average,0,Healthy,Basic,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,28,Cutting,65,None,Light,Average,0,Healthy,Basic,Evening,Occasional,Low
Abdul Latif,Pallmall Group,2,Sewing,63,None,None,Good,0,Healthy,Advanced,Evening,Occasional,Low
Nazia Sultana,Pallmall Group,19,Packaging,34,Low,None,Average,2,Minor_Chronic,Basic,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,35,Machine_Maintenance,57,Low,Light,Average,0,Healthy,Basic,Day,Rare,Medium
Shamina Begum,Pallmall Group,18,Ironing,46,None,Heavy,Good,0,Serious_Chronic,Basic,Evening,Rare,Medium
Rasel Hossain,Pallmall Group,25,Sewing,52,None,None,Average,0,Serious_Chronic,None,Day,Rare,Medium
Rahim Ahmed,Pallmall Group,2,Sewing,43,Medium,Light,Poor,0,Minor_Chronic,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,18,Sewing,67,None,Heavy,Poor,1,Healthy,Advanced,Night,Rare,High
Taslima Akter,Pallmall Group,19,Packaging,35,Medium,Heavy,Average,1,Healthy,None,Day,Frequent,Medium
Mushfiqur Rahman,Pallmall Group,31,Cutting,45,Medium,Light,Poor,2,Serious_Chronic,None,Night,Rare,High
Rasel Hossain,Pallmall Group,6,Machine_Maintenance,55,None,Heavy,Good,0,Minor_Chronic,Basic,Night,Frequent,High
Mushfiqur Rahman,Pallmall Group,40,Packaging,43,Low,Light,Poor,1,Minor_Chronic,Basic,Night,Occasional,Medium
Shamina Begum,Pallmall Group,32,Sewing,46,High,None,Average,1,Healthy,Basic,Day,Rare,Medium
Rahim Ahmed,Pallmall Group,39,Dyeing,44,None,None,Poor,0,Healthy,Basic,Day,Rare,Medium
Taslima Akter,Pallmall Group,38,Cutting,40,Low,Light,Average,2,Healthy,Advanced,Day,Rare,Low
Abdul Latif,Pallmall Group,17,Dyeing,34,None,Light,Good,1,Minor_Chronic,Basic,Day,Occasional,Low
Abdul Latif,Pallmall Group,39,Packaging,54,None,Heavy,Average,1,Minor_Chronic,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,0,Packaging,37,Medium,Heavy,Good,1,Healthy,Basic,Evening,Occasional,High
Mariam Noor,Pallmall Group,10,Packaging,61,Medium,Light,Poor,1,Healthy,Basic,Night,Occasional,High
Nazia Sultana,Pallmall Group,27,Sewing,63,Medium,Light,Poor,0,Healthy,Basic,Night,Occasional,High
Shahidul Islam,Pallmall Group,24,Sewing,52,None,Light,Good,0,Healthy,Advanced,Day,Occasional,Low
Fariha Khan,Pallmall Group,22,Packaging,33,None,Light,Good,1,Healthy,Basic,Evening,Rare,Low
Shamina Begum,Pallmall Group,30,Sewing,51,Low,Heavy,Good,0,Healthy,Basic,Day,Frequent,Low
Fariha Khan,Pallmall Group,29,Cutting,45,None,Light,Average,2,Healthy,None,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,34,Sewing,50,Low,None,Average,0,Healthy,Basic,Night,Frequent,Low
Fariha Khan,Pallmall Group,6,Packaging,33,Low,Light,Poor,2,Serious_Chronic,Basic,Day,Rare,High
Mushfiqur Rahman,Pallmall Group,15,Sewing,56,Low,Light,Good,0,Healthy,Advanced,Day,Frequent,Low
Abdul Latif,Pallmall Group,25,Dyeing,52,Low,Light,Average,0,Minor_Chronic,Basic,Night,Frequent,Medium
Abdul Latif,Pallmall Group,1,Supervisor,44,None,Light,Average,1,Minor_Chronic,Basic,Day,Occasional,Low
